"ulb","applicationnumber","applicationdate","licenseissueddate","status","createddate","lastmodifieddate"
"Udala","MR-UDL-2022-01-10-000310","2022-01-10 16:26:32+05:30","2022-01-11 16:04:47+05:30","APPROVED","2022-01-10 16:26:32+05:30","2022-01-11 16:04:46+05:30"
"Rourkela","MR-RRK-2022-01-10-000313","2022-01-10 16:56:25+05:30",NULL,"DOCVERIFICATION","2022-01-10 16:56:25+05:30","2022-01-10 17:04:00+05:30"
"Cuttack","MR-CTC-2022-01-10-000314","2022-01-10 17:04:33+05:30",NULL,"DOCVERIFICATION","2022-01-10 17:04:33+05:30","2022-01-13 19:32:50+05:30"
"Balangir","MR-BLR-2022-01-10-000319","2022-01-10 21:33:48+05:30",NULL,"DOCVERIFICATION","2022-01-10 21:33:48+05:30","2022-01-10 22:21:15+05:30"
"Kamakhyanagar","MR-KMN-2022-01-11-000321","2022-01-11 14:38:08+05:30","2022-01-13 14:27:43+05:30","APPROVED","2022-01-11 14:38:08+05:30","2022-01-13 14:27:43+05:30"
"Rambha","MR-RMB-2022-01-12-000324","2022-01-12 16:07:06+05:30","2022-01-13 13:14:56+05:30","APPROVED","2022-01-12 16:07:06+05:30","2022-01-13 13:14:56+05:30"
"Balimela","MR-BLM-2022-01-12-000325","2022-01-12 16:33:00+05:30","2022-01-12 17:45:31+05:30","APPROVED","2022-01-12 16:33:00+05:30","2022-01-12 17:45:30+05:30"
"Nayagarh","MR-NGR-2022-01-13-000330","2022-01-13 11:27:07+05:30",NULL,"PENDINGAPPROVAL","2022-01-13 11:27:07+05:30","2022-01-19 10:33:29+05:30"
"Rajgangpur","MR-RJG-2022-01-13-000331","2022-01-13 11:41:33+05:30","2022-01-13 15:45:36+05:30","APPROVED","2022-01-13 11:41:33+05:30","2022-01-13 15:45:34+05:30"
"Rourkela","MR-RRK-2022-01-13-000332","2022-01-13 12:25:47+05:30",NULL,"DOCVERIFICATION","2022-01-13 12:25:47+05:30","2022-01-13 12:44:47+05:30"
"Balugaon","MR-BLG-2022-01-13-000333","2022-01-13 12:33:05+05:30",NULL,"DOCVERIFICATION","2022-01-13 12:33:05+05:30","2022-01-13 12:49:04+05:30"
"Daspalla","MR-DSP-2022-01-13-000335","2022-01-13 12:46:46+05:30","2022-01-13 13:06:14+05:30","APPROVED","2022-01-13 12:46:46+05:30","2022-01-13 13:06:13+05:30"
"Sambalpur","MR-SMB-2022-01-13-000338","2022-01-13 13:24:53+05:30",NULL,"DOCVERIFICATION","2022-01-13 13:24:53+05:30","2022-01-13 13:46:53+05:30"
"Cuttack","MR-CTC-2022-01-13-000339","2022-01-13 13:47:47+05:30",NULL,"DOCVERIFICATION","2022-01-13 13:47:47+05:30","2022-01-13 14:46:01+05:30"
"Paralakhemundi","MR-PRL-2022-01-13-000342","2022-01-13 15:52:51+05:30","2022-01-13 16:33:12+05:30","APPROVED","2022-01-13 15:52:51+05:30","2022-01-13 16:33:12+05:30"
"Daspalla","MR-DSP-2022-01-13-000343","2022-01-13 17:10:28+05:30","2022-01-13 17:29:56+05:30","APPROVED","2022-01-13 17:10:28+05:30","2022-01-13 17:29:54+05:30"
"Puri","MR-PRI-2022-01-13-000348","2022-01-13 21:34:11+05:30",NULL,"PENDINGPAYMENT","2022-01-13 21:34:11+05:30","2022-01-18 18:45:22+05:30"
"Kesinga","MR-KSG-2022-01-14-000349","2022-01-14 11:10:34+05:30","2022-01-16 07:45:12+05:30","APPROVED","2022-01-14 11:10:34+05:30","2022-01-16 07:45:10+05:30"
"Nabarangpur","MR-NBR-2022-01-14-000350","2022-01-14 13:57:23+05:30","2022-01-14 14:29:41+05:30","APPROVED","2022-01-14 13:57:23+05:30","2022-01-14 14:29:40+05:30"
"Rajgangpur","MR-RJG-2022-01-14-000356","2022-01-14 23:37:26+05:30",NULL,"DOCVERIFICATION","2022-01-14 23:37:26+05:30","2022-01-14 23:45:40+05:30"
"Rajgangpur","MR-RJG-2022-01-14-000357","2022-01-14 23:51:57+05:30",NULL,"PENDINGAPPROVAL","2022-01-14 23:51:57+05:30","2022-01-18 12:48:20+05:30"
"Vyasanagar","MR-VSN-2022-01-15-000360","2022-01-15 14:34:02+05:30","2022-01-18 12:41:55+05:30","APPROVED","2022-01-15 14:34:02+05:30","2022-01-18 12:41:55+05:30"
"Sambalpur","MR-SMB-2022-01-15-000362","2022-01-15 15:29:33+05:30","2022-01-19 15:56:41+05:30","APPROVED","2022-01-15 15:29:33+05:30","2022-01-19 15:56:41+05:30"
"Sambalpur","MR-SMB-2022-01-15-000364","2022-01-15 16:06:27+05:30","2022-01-18 10:52:21+05:30","APPROVED","2022-01-15 16:06:27+05:30","2022-01-18 10:52:21+05:30"
"Koraput","MR-KOR-2022-01-15-000365","2022-01-15 16:07:52+05:30","2022-01-15 16:51:47+05:30","APPROVED","2022-01-15 16:07:52+05:30","2022-01-15 16:51:47+05:30"
"Cuttack","MR-CTC-2022-01-15-000368","2022-01-15 16:55:07+05:30","2022-01-19 13:33:25+05:30","APPROVED","2022-01-15 16:55:07+05:30","2022-01-19 13:33:25+05:30"
"Paralakhemundi","MR-PRL-2022-01-15-000369","2022-01-15 17:04:43+05:30",NULL,"DOCVERIFICATION","2022-01-15 17:04:43+05:30","2022-01-15 17:17:39+05:30"
"Rajgangpur","MR-RJG-2022-01-15-000370","2022-01-15 17:07:54+05:30","2022-01-18 12:36:10+05:30","APPROVED","2022-01-15 17:07:54+05:30","2022-01-18 12:36:10+05:30"
