"id","accountid","tenantid","mrnumber","applicationnumber","applicationtype","applicationdate","marriagedate","issueddate","action","status","createdby","lastmodifiedby","createdtime","lastmodifiedtime","businessservice","workflowcode"
"13dd02a8-f8d0-4653-965b-bfc9d47464ba","fa9c99f9-2e4c-4590-897b-d5939cd32889","od.balangir",NULL,"MR-BLR-2022-02-17-000945","NEW",1645103745175,1558290599000,NULL,"APPLY","DOCVERIFICATION","fa9c99f9-2e4c-4590-897b-d5939cd32889","fa9c99f9-2e4c-4590-897b-d5939cd32889",1645103745175,1645104961509,"MR","MR"
"9f3bcdc2-b9d9-45c7-8a1b-aa14aebd77a8","e58096c1-4267-4365-9249-cb1b5eb37be1","od.phulbani",NULL,"MR-PLB-2022-02-17-000944","NEW",1645103302801,1607452199000,NULL,"FORWARD","PENDINGPAYMENT","46194eb2-e448-4b3b-8e96-f9655ddf9198","46194eb2-e448-4b3b-8e96-f9655ddf9198",1645103302801,1645106877520,"MR","MR"
"35e8fe76-fb16-471f-8d6f-ae89179d004a","9c820428-c8cf-4e59-b8f0-8dcddf97ec11","od.cuttack",NULL,"MR-CTC-2022-01-17-000404","NEW",1642432456126,1511980199000,NULL,"FORWARD","DOCVERIFICATION","9c820428-c8cf-4e59-b8f0-8dcddf97ec11","56c82dda-91a2-4b07-9903-427df602bf38",1642432456126,1645106930754,"MR","MR"
"8381337c-ae94-4f43-8be4-edbced7219c6","e84bba43-1a11-4caf-a67b-618c761de617","od.cuttack",NULL,"MR-CTC-2022-02-13-000846","NEW",1644757595020,1607538599000,NULL,"PAY","PENDINGSCHEDULE","e84bba43-1a11-4caf-a67b-618c761de617","56c82dda-91a2-4b07-9903-427df602bf38",1644757595020,1645108710327,"MR","MR"
"92eeb27e-f9f7-4606-928e-d61915b2e7aa","648c28d2-4336-4791-a2a1-e6be0cb3d4ba","od.vyasanagar",NULL,"MR-VSN-2022-02-17-000948","NEW",1645105859274,1613327399000,NULL,"APPLY","DOCVERIFICATION","648c28d2-4336-4791-a2a1-e6be0cb3d4ba","648c28d2-4336-4791-a2a1-e6be0cb3d4ba",1645105859274,1645113386854,"MR","MR"
"a6305569-2936-4a54-8e47-741b5fb849ca","cdef7ab8-ddae-4d81-8574-b483113bf334","od.athmallik",NULL,"MR-ATM-2022-02-18-000952","NEW",1645149357692,1644604199000,NULL,"APPLY","DOCVERIFICATION","a05c5fdb-d2d3-47b5-8b60-a497de46d759","a05c5fdb-d2d3-47b5-8b60-a497de46d759",1645149357692,1645151284208,"MR","MR"
"d478dd6a-b945-407d-babe-d7bec07a95c5","9c820428-c8cf-4e59-b8f0-8dcddf97ec11","od.cuttack",NULL,"MR-CTC-2022-02-18-000954","NEW",1645163010781,1511980199000,NULL,"APPLY","DOCVERIFICATION","9c820428-c8cf-4e59-b8f0-8dcddf97ec11","9c820428-c8cf-4e59-b8f0-8dcddf97ec11",1645163010781,1645163468132,"MR","MR"
"408e8c7a-aff6-4689-b091-0bf8ba2ce1c0","d79e65d9-2768-476e-881e-d95cc6c3a1ff","od.hinjilicut",NULL,"MR-HNL-2022-02-17-000938","NEW",1645099548329,1643480999000,NULL,"PAY","PENDINGSCHEDULE","f0c84196-f898-4536-ae51-b7dbc5551c9e","f0c84196-f898-4536-ae51-b7dbc5551c9e",1645099548329,1645163973051,"MR","MR"
"6e096b9c-c6db-49f4-92e2-4c1131989020","55d7ea7e-867b-46ca-8f64-fe5385767d25","od.deogarh","MR/DBG/000192","MR-DBG-2022-01-28-000565","NEW",1643369988243,1639074599000,1645165590274,"APPROVE","APPROVED","dbc0256b-76e3-4f57-94d1-04e4db0c5986","06391256-5516-4313-b430-e96b536146e7",1643369988243,1645165590171,"MR","MR"
"95622bd4-2b64-4e9f-bdde-44d61421543f","a412b307-7e73-43ef-b732-0113886e7dc0","od.berhampur",NULL,"MR-BAM-2022-02-18-000960","NEW",1645168311287,1241375399000,NULL,"SCHEDULE","PENDINGAPPROVAL","b7746a19-eef2-40be-9433-368d4262e74f","49de86cb-c742-4b27-bc85-27d46e9a8086",1645168311287,1645170461573,"MR","MR"
"18e38053-c420-40da-9af1-beab38826f07","3cf3579d-61be-4868-bccb-b4e5b9c70d59","od.gunupur","MR/GNP/000193","MR-GNP-2022-02-18-000958","NEW",1645167016536,840392999000,1645170473572,"APPROVE","APPROVED","ad7198a6-c5c9-4ee1-8785-ac4e109987cf","ebe3b750-23cc-42f5-8cdb-5ac33e42dc27",1645167016536,1645170473471,"MR","MR"
"ebb6efac-6de1-40e0-95a2-ce8fe1842251","651090a9-a3fd-45b2-aa2f-a184da9355ec","od.rourkela",NULL,"MR-RRK-2022-02-16-000901","NEW",1645004731180,1643480999000,NULL,"APPLY","DOCVERIFICATION","651090a9-a3fd-45b2-aa2f-a184da9355ec","651090a9-a3fd-45b2-aa2f-a184da9355ec",1645004731180,1645172564384,"MR","MR"
"1b249512-07e4-4222-8035-35b974aa8b2d","366f2e5a-9698-4b3e-94ce-520d1af04d65","od.cuttack",NULL,"MR-CTC-2022-02-18-000961","NEW",1645171230020,1524076199000,NULL,"APPLY","DOCVERIFICATION","366f2e5a-9698-4b3e-94ce-520d1af04d65","366f2e5a-9698-4b3e-94ce-520d1af04d65",1645171230020,1645172782293,"MR","MR"
"c778811d-eb71-4ac3-84ee-af8ac18483e0","524f1900-d65f-4ef3-a4ec-986d3ed23c8d","od.basudevpur",NULL,"MR-BSP-2022-02-18-000956","NEW",1645166080839,1621016999000,NULL,"PAY","PENDINGSCHEDULE","168b2836-3fe8-43a6-875e-85a3fdf3841c","168b2836-3fe8-43a6-875e-85a3fdf3841c",1645166080839,1645172851910,"MR","MR"
"8f26f04d-c5e5-4163-821e-b978bdc9bb58","9641024f-f0cc-425a-9c53-7e54c4ad3460","od.odagaon",NULL,"MR-ODG-2022-02-17-000926","NEW",1645092014542,1575311399000,NULL,"PAY","PENDINGSCHEDULE","c7915efd-97ca-4275-a304-6280332f2ca9","c7915efd-97ca-4275-a304-6280332f2ca9",1645092014542,1645175249958,"MR","MR"
"fcfc7bf3-75bb-4629-a728-5daabd683961","b327b816-a308-4674-bf03-ec4d5f72949a","od.odagaon",NULL,"MR-ODG-2022-02-17-000930","NEW",1645093572174,1620844199000,NULL,"PAY","PENDINGSCHEDULE","c7915efd-97ca-4275-a304-6280332f2ca9","c7915efd-97ca-4275-a304-6280332f2ca9",1645093572174,1645175278280,"MR","MR"
"737047c3-bb1c-49e8-9f1f-130cee014a0d","21d6e44e-0fe4-481e-8dc0-463202ed1059","od.gudayagiri",NULL,"MR-GUG-2022-02-18-000962","NEW",1645171545102,1642789799000,NULL,"SCHEDULE","PENDINGAPPROVAL","bfd3bcee-c74c-4d31-b9a9-eed9fa82fcfd","3929d28d-c4e1-4bef-aa14-194251cd490d",1645171545102,1645180952139,"MR","MR"
"6af323eb-275b-40d4-a3b8-9fcb281edc3d","9af6ed36-8f26-4695-9be3-9dc5363fd001","od.redhakhol","MR/RDK/000194","MR-RDK-2022-02-17-000927","NEW",1645092078499,1637567999000,1645181552362,"APPROVE","APPROVED","2c5f5c81-c17e-48e9-8ea3-187e17c99888","61ba4390-f8ff-4413-8c9b-a169723f85e4",1645092078499,1645181552261,"MR","MR"
"9b4ca000-cfda-4efd-aaa7-0c756dec9a01","1481343a-d4ee-41a0-ae67-6469c85a0065","od.sunabeda","MR/SNB/000195","MR-SNB-2022-02-16-000904","NEW",1645013767767,1639333799000,1645181642529,"APPROVE","APPROVED","912d7ac9-9d07-4ac0-b528-920c86f60706","c25f7273-49b0-4865-866c-7a240b0eb8a1",1645013767767,1645181642427,"MR","MR"
"32db22d4-d331-46e8-bbf5-a8d57c193e18","90a7a18e-7af8-4de5-a984-0eb0b8b6bcdb","od.rourkela","MR/RRK/000196","MR-RRK-2022-01-10-000309","NEW",1641812074306,1639506599000,1645182295543,"APPROVE","APPROVED","90a7a18e-7af8-4de5-a984-0eb0b8b6bcdb","49838bde-cfc1-4fb5-9f0d-0a0a81cf856c",1641812074306,1645182295432,"MR","MR"
"ce65e769-8f79-4651-ba3b-5ab3e1426bd8","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","od.cuttack",NULL,"MR-CTC-2022-02-17-000942","NEW",1645100974984,1642962599000,NULL,"PAY","PENDINGSCHEDULE","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","56c82dda-91a2-4b07-9903-427df602bf38",1645100974984,1645182484521,"MR","MR"
"dd8e6f4f-c0dc-4a94-9afd-fcf3d158e7de","1ee9c972-c671-4827-8ad3-9fdb65a27b1c","od.bhadrak",NULL,"MR-BDK-2022-02-18-000965","NEW",1645187499969,1642876199000,NULL,"SCHEDULE","PENDINGAPPROVAL","6e39a265-a8c1-477b-acb3-b9151f66179e","d48014cc-1dde-417f-9d7f-297568b68655",1645187499969,1645189670541,"MR","MR"
"a88e715a-2efe-456d-984b-9d49b2d473b3","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","od.cuttack",NULL,"MR-CTC-2022-02-18-000966","NEW",1645187790890,1642962599000,NULL,"SCHEDULE","PENDINGAPPROVAL","21acd0c9-9203-40c7-a3f2-22c1b9440b1b","a8e071d4-8bfe-4d33-b8a6-ca296ea22921",1645187790890,1645189828586,"MR","MR"
